krs,name,hasc_2,bundesland,centr_lon,centr_lat,x_epsg5243,y_epsg5243,total_area_epsg5243
08111,Stuttgart,DE.BW.SU,Baden-Württemberg,9.172067957067048,48.774533945355316,-97592.78521005336,-246496.03741444193,209883113.43268928
08115,Böblingen,DE.BW.BL,Baden-Württemberg,8.942777290523004,48.67822564153647,-114672.84049095488,-256882.10362063439,617232564.5625706
08116,Esslingen,DE.BW.ES,Baden-Württemberg,9.369165774262743,48.64802164163992,-83319.3149391174,-260805.62345481224,639718513.6242158
08117,Göppingen,DE.BW.GP,Baden-Württemberg,9.717504973785017,48.66314836652764,-57640.05501899691,-259455.71019773226,642532357.5957121
08118,Ludwigsburg,DE.BW.LD,Baden-Württemberg,9.124344262026927,48.940602983805704,-100757.38622102437,-227968.94445112423,686412700.8292093
08119,Rems-Murr-Kreis,DE.BW.RM,Baden-Württemberg,9.501212964733872,48.89900813499213,-73218.5303256528,-233044.78628196788,857137092.2673589
08121,Heilbronn,DE.BW.HB,Baden-Württemberg,9.182346883000982,49.15271955945218,-96080.63353953429,-204465.718257781,100541459.03092039
08125,Heilbronn,DE.BW.HB,Baden-Württemberg,9.190778734097078,49.17719852524593,-95434.46294554797,-201758.87853322044,1098148219.5394228
08126,Hohenlohekreis,DE.BW.HL,Baden-Württemberg,9.614135854063834,49.27154614239773,-64451.7334065031,-191735.44178876703,776467968.029258
08127,Schwäbisch Hall,DE.BW.SH,Baden-Württemberg,9.908932204930073,49.144468952221395,-43127.888981896984,-206084.22324967952,1483204687.463277
08128,Main-Tauber-Kreis,DE.BW.MT,Baden-Württemberg,9.72508834687899,49.56070071295369,-55987.7781693555,-159690.94508606172,1303558928.3471978
08135,Heidenheim,DE.BW.HH,Baden-Württemberg,10.182150468649645,48.662281426353616,-23415.811505254784,-259808.18856811654,627409598.3171421
08136,Ostalbkreis,DE.BW.OA,Baden-Württemberg,10.090157394219748,48.877525942326606,-30067.94434577264,-235833.53267482607,1509896818.5022068
08211,Baden-Baden,DE.BW.BB,Baden-Württemberg,8.23176214397107,48.74852748767024,-166766.58181498916,-247697.25922289476,140240313.8713792
08212,Karlsruhe,DE.BW.KL,Baden-Württemberg,8.412669801121742,49.011333988239215,-152639.81694266072,-218879.02461786763,173913228.46172377
08215,Karlsruhe,DE.BW.KL,Baden-Württemberg,8.56279661413589,49.0818848873519,-141476.83688797132,-211355.96078602667,1083855905.0731921
08216,Rastatt,DE.BW.RS,Baden-Württemberg,8.24124762445622,48.76181927460984,-166024.2674198764,-246251.30706041132,738223074.6988299
