,IdBundesland,Bundesland,Landkreis,Altersgruppe,Geschlecht,AnzahlFall,AnzahlTodesfall,ObjectId,Meldedatum,IdLandkreis,Datenstand
135,1,Schleswig-Holstein,LK Pinneberg,A35-A59,M,1,0,163535,2020-03-15 00:00:00+00:00,1056,2020-03-22
136,1,Schleswig-Holstein,LK Pinneberg,A35-A59,M,1,0,163536,2020-03-16 00:00:00+00:00,1056,2020-03-22
137,1,Schleswig-Holstein,LK Pinneberg,A35-A59,M,4,0,163537,2020-03-17 00:00:00+00:00,1056,2020-03-22
138,1,Schleswig-Holstein,LK Pinneberg,A35-A59,M,2,0,163538,2020-03-18 00:00:00+00:00,1056,2020-03-22
139,1,Schleswig-Holstein,LK Pinneberg,A35-A59,M,4,0,163539,2020-03-19 00:00:00+00:00,1056,2020-03-22
140,1,Schleswig-Holstein,LK Pinneberg,A35-A59,M,5,0,163540,2020-03-20 00:00:00+00:00,1056,2020-03-22
141,1,Schleswig-Holstein,LK Pinneberg,A35-A59,M,1,0,163541,2020-03-21 00:00:00+00:00,1056,2020-03-22
142,1,Schleswig-Holstein,LK Pinneberg,A35-A59,W,4,0,163542,2020-03-13 00:00:00+00:00,1056,2020-03-22
143,1,Schleswig-Holstein,LK Pinneberg,A35-A59,W,2,0,163543,2020-03-14 00:00:00+00:00,1056,2020-03-22
144,1,Schleswig-Holstein,LK Pinneberg,A35-A59,W,2,0,163544,2020-03-15 00:00:00+00:00,1056,2020-03-22
145,1,Schleswig-Holstein,LK Pinneberg,A35-A59,W,2,0,163545,2020-03-16 00:00:00+00:00,1056,2020-03-22
146,1,Schleswig-Holstein,LK Pinneberg,A35-A59,W,4,0,163546,2020-03-17 00:00:00+00:00,1056,2020-03-22
147,1,Schleswig-Holstein,LK Pinneberg,A35-A59,W,2,0,163547,2020-03-18 00:00:00+00:00,1056,2020-03-22
148,1,Schleswig-Holstein,LK Pinneberg,A35-A59,W,4,0,163548,2020-03-20 00:00:00+00:00,1056,2020-03-22
149,1,Schleswig-Holstein,LK Pinneberg,A35-A59,W,3,0,163549,2020-03-21 00:00:00+00:00,1056,2020-03-22
150,1,Schleswig-Holstein,LK Pinneberg,A60-A79,M,2,0,163550,2020-03-11 00:00:00+00:00,1056,2020-03-22
151,1,Schleswig-Holstein,LK Pinneberg,A60-A79,M,2,0,163551,2020-03-20 00:00:00+00:00,1056,2020-03-22
152,1,Schleswig-Holstein,LK Pinneberg,A60-A79,W,1,0,163552,2020-03-06 00:00:00+00:00,1056,2020-03-22
153,1,Schleswig-Holstein,LK Pinneberg,A60-A79,W,1,0,163553,2020-03-10 00:00:00+00:00,1056,2020-03-22
154,1,Schleswig-Holstein,LK Pinneberg,A60-A79,W,1,0,163554,2020-03-11 00:00:00+00:00,1056,2020-03-22
155,1,Schleswig-Holstein,LK Pinneberg,A60-A79,W,1,0,163555,2020-03-17 00:00:00+00:00,1056,2020-03-22
156,1,Schleswig-Holstein,LK Pinneberg,A60-A79,W,1,0,163556,2020-03-18 00:00:00+00:00,1056,2020-03-22
157,1,Schleswig-Holstein,LK Pinneberg,A80+,M,1,0,163557,2020-03-21 00:00:00+00:00,1056,2020-03-22
158,1,Schleswig-Holstein,LK Plön,A35-A59,M,2,0,163558,2020-03-09 00:00:00+00:00,1057,2020-03-22
159,1,Schleswig-Holstein,LK Plön,A35-A59,M,1,0,163559,2020-03-14 00:00:00+00:00,1057,2020-03-22
160,1,Schleswig-Holstein,LK Plön,A35-A59,M,1,0,163560,2020-03-16 00:00:00+00:00,1057,2020-03-22
161,1,Schleswig-Holstein,LK Plön,A35-A59,M,1,0,163561,2020-03-20 00:00:00+00:00,1057,2020-03-22
162,1,Schleswig-Holstein,LK Plön,A35-A59,W,1,0,163562,2020-03-14 00:00:00+00:00,1057,2020-03-22
163,1,Schleswig-Holstein,LK Plön,A35-A59,W,1,0,163563,2020-03-17 00:00:00+00:00,1057,2020-03-22
164,1,Schleswig-Holstein,LK Plön,A35-A59,W,1,0,163564,2020-03-19 00:00:00+00:00,1057,2020-03-22
165,1,Schleswig-Holstein,LK Plön,A60-A79,M,1,0,163565,2020-03-14 00:00:00+00:00,1057,2020-03-22
166,1,Schleswig-Holstein,LK Plön,A60-A79,M,2,0,163566,2020-03-18 00:00:00+00:00,1057,2020-03-22
167,1,Schleswig-Holstein,LK Plön,A60-A79,W,1,0,163567,2020-03-16 00:00:00+00:00,1057,2020-03-22
168,1,Schleswig-Holstein,LK Rendsburg-Eckernförde,A15-A34,W,2,0,163568,2020-03-15 00:00:00+00:00,1058,2020-03-22
169,1,Schleswig-Holstein,LK Rendsburg-Eckernförde,A15-A34,W,2,0,163569,2020-03-19 00:00:00+00:00,1058,2020-03-22
170,1,Schleswig-Holstein,LK Rendsburg-Eckernförde,A15-A34,W,1,0,163570,2020-03-20 00:00:00+00:00,1058,2020-03-22
171,1,Schleswig-Holstein,LK Rendsburg-Eckernförde,A35-A59,M,1,0,163571,2020-03-11 00:00:00+00:00,1058,2020-03-22
172,1,Schleswig-Holstein,LK Rendsburg-Eckernförde,A35-A59,M,1,0,163572,2020-03-13 00:00:00+00:00,1058,2020-03-22
173,1,Schleswig-Holstein,LK Rendsburg-Eckernförde,A35-A59,M,2,0,163573,2020-03-15 00:00:00+00:00,1058,2020-03-22
174,1,Schleswig-Holstein,LK Rendsburg-Eckernförde,A35-A59,M,2,0,163574,2020-03-17 00:00:00+00:00,1058,2020-03-22
175,1,Schleswig-Holstein,LK Rendsburg-Eckernförde,A35-A59,M,2,0,163575,2020-03-18 00:00:00+00:00,1058,2020-03-22
176,1,Schleswig-Holstein,LK Rendsburg-Eckernförde,A35-A59,M,1,0,163576,2020-03-20 00:00:00+00:00,1058,2020-03-22
177,1,Schleswig-Holstein,LK Rendsburg-Eckernförde,A35-A59,W,1,0,163577,2020-03-11 00:00:00+00:00,1058,2020-03-22
178,1,Schleswig-Holstein,LK Rendsburg-Eckernförde,A35-A59,W,1,0,163578,2020-03-17 00:00:00+00:00,1058,2020-03-22
179,1,Schleswig-Holstein,LK Rendsburg-Eckernförde,A35-A59,W,1,0,163579,2020-03-18 00:00:00+00:00,1058,2020-03-22
180,1,Schleswig-Holstein,LK Rendsburg-Eckernförde,A35-A59,W,1,0,163580,2020-03-20 00:00:00+00:00,1058,2020-03-22
181,1,Schleswig-Holstein,LK Rendsburg-Eckernförde,A35-A59,W,1,0,163581,2020-03-21 00:00:00+00:00,1058,2020-03-22
182,1,Schleswig-Holstein,LK Rendsburg-Eckernförde,A60-A79,M,1,0,163582,2020-03-12 00:00:00+00:00,1058,2020-03-22
183,1,Schleswig-Holstein,LK Rendsburg-Eckernförde,A60-A79,M,1,0,163583,2020-03-13 00:00:00+00:00,1058,2020-03-22
184,1,Schleswig-Holstein,LK Rendsburg-Eckernförde,A60-A79,M,1,0,163584,2020-03-16 00:00:00+00:00,1058,2020-03-22
185,1,Schleswig-Holstein,LK Rendsburg-Eckernförde,A60-A79,M,1,0,163585,2020-03-18 00:00:00+00:00,1058,2020-03-22
186,1,Schleswig-Holstein,LK Rendsburg-Eckernförde,A60-A79,M,1,0,163586,2020-03-20 00:00:00+00:00,1058,2020-03-22
187,1,Schleswig-Holstein,LK Rendsburg-Eckernförde,A60-A79,M,2,0,163587,2020-03-21 00:00:00+00:00,1058,2020-03-22
188,1,Schleswig-Holstein,LK Rendsburg-Eckernförde,A60-A79,W,2,0,163588,2020-03-12 00:00:00+00:00,1058,2020-03-22
